q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,platform
1,6,5,6,6,3,2,4,2,3,3,2,5,5,3,2,2,2,2,1,4,4,4,5,3,Coinbase
5,4,4,5,6,3,5,3,3,6,4,4,6,5,5,2,5,2,1,2,6,2,5,5,2,Coinbase
2,5,4,3,3,6,4,4,2,4,6,4,3,3,4,1,1,1,4,3,6,1,4,6,1,Kraken
1,6,6,3,6,6,6,6,1,5,1,4,5,5,6,3,6,4,4,6,5,1,4,6,1,Kraken
2,6,4,5,4,4,4,5,3,5,3,3,4,4,4,3,3,3,4,3,4,4,5,5,2,Binance
2,6,3,5,2,4,4,6,4,5,2,1,5,4,6,1,1,1,1,1,6,2,5,2,1,Kraken
1,5,5,6,5,5,5,5,2,2,2,2,1,5,3,5,2,4,4,2,5,2,5,5,1,Binance
1,5,5,3,3,5,2,2,5,6,2,3,2,3,4,5,5,5,3,2,5,2,5,6,2,Binance
1,6,6,5,6,6,5,3,1,1,1,2,5,5,5,1,1,1,2,4,6,1,6,6,1,Kraken
2,5,5,6,5,4,4,2,5,4,4,3,5,5,4,3,4,2,1,1,6,5,4,6,2,Coinbase
4,4,3,1,4,5,4,4,1,1,1,1,4,6,6,3,4,2,2,1,4,1,6,4,2,Binance
2,6,5,5,3,5,5,6,2,1,2,5,3,4,5,1,3,2,1,3,6,2,4,6,5,Coinbase
3,5,6,5,5,4,5,4,2,4,2,2,5,5,5,3,3,5,4,3,5,2,6,5,3,Kraken
1,6,6,6,5,5,3,4,4,4,1,2,5,6,5,2,2,2,2,3,5,4,5,5,2,Coinbase
2,5,5,5,4,3,1,4,4,5,5,5,5,3,5,2,4,5,4,5,5,4,5,5,1,Kraken
2,4,4,1,3,3,5,4,4,5,4,4,4,5,2,1,2,1,4,4,5,1,6,6,1,Binance
2,4,5,5,4,5,6,5,2,1,3,4,4,2,6,6,6,2,3,4,5,5,4,5,5,Coinbase
1,6,6,2,5,5,3,2,3,4,2,2,3,5,5,2,4,2,3,5,4,2,4,6,2,Coinbase
2,6,4,5,4,2,3,2,4,5,2,3,4,5,4,4,3,2,4,2,5,5,4,4,2,Binance
1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,2,4,1,1,5,6,2,2,6,Binance
1,6,6,6,6,5,5,5,2,2,2,2,5,6,4,2,2,4,3,4,5,6,5,6,4,Coinbase
2,4,5,5,5,1,1,3,4,5,1,2,5,5,2,1,2,1,2,1,6,1,5,5,6,Binance
2,4,5,6,5,4,6,4,1,2,1,1,6,6,5,1,1,2,2,1,5,1,5,5,2,Binance
1,5,5,5,5,5,6,4,2,2,4,1,5,4,6,4,5,5,4,2,5,1,5,6,1,Coinbase
3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,5,4,2,2,4,5,4,4,4,5,Kraken
4,4,5,6,4,5,6,6,4,2,2,2,5,5,5,4,2,4,5,4,4,2,5,3,3,Binance
1,5,5,5,5,4,4,4,4,5,2,2,5,5,5,3,3,3,3,4,6,2,5,4,5,Binance
2,6,5,5,4,5,4,5,3,4,4,6,5,6,6,3,3,2,2,2,5,6,6,5,1,Coinbase
1,2,2,4,3,6,4,6,5,6,4,5,1,6,3,4,6,6,4,5,3,4,3,6,4,Coinbase
1,6,5,6,6,4,5,3,3,4,6,3,4,5,5,1,2,2,2,3,6,1,5,6,1,Kraken
6,5,6,6,5,6,6,6,1,3,6,6,4,4,5,4,5,4,4,4,6,1,3,6,3,Coinbase
4,3,4,3,4,4,3,5,4,4,2,4,4,3,4,5,5,3,2,3,5,4,4,4,4,Kraken
3,4,2,2,3,3,2,2,4,1,2,2,5,4,5,2,3,1,1,1,6,3,6,5,1,Binance
4,3,4,3,3,5,2,4,4,5,3,5,4,1,4,5,5,5,4,4,6,1,6,6,1,Binance
3,5,4,4,4,3,3,4,4,4,5,4,3,2,4,2,3,2,3,2,5,4,4,3,4,Binance
4,2,2,3,3,4,3,3,4,5,4,5,2,2,5,5,4,4,5,4,5,2,5,6,2,Binance
3,4,4,3,3,5,5,4,3,2,3,4,4,2,3,4,4,5,4,4,6,1,6,6,1,Binance
1,6,5,6,3,3,5,1,1,6,1,3,3,3,6,6,6,6,2,6,3,6,1,1,6,Coinbase
1,5,5,4,5,4,4,4,4,4,4,1,5,5,4,1,2,1,1,2,6,4,6,6,1,Binance
2,2,1,6,3,6,6,6,1,1,2,2,5,6,6,1,3,1,1,1,6,1,6,6,2,Kraken
2,4,4,5,5,5,5,5,1,2,6,5,2,5,5,5,5,5,6,3,2,2,3,5,2,Coinbase
1,6,6,2,5,5,5,5,1,2,2,2,6,6,6,6,6,4,2,4,6,1,5,5,1,Coinbase
2,3,4,4,4,3,1,1,3,2,3,3,3,3,4,2,3,2,3,2,6,2,4,5,2,Binance
1,6,4,3,6,4,4,5,2,5,2,5,4,5,6,4,5,5,2,6,5,2,6,6,1,Coinbase
2,3,4,5,3,4,5,4,2,5,5,3,3,4,4,2,2,4,4,3,4,3,4,5,3,Binance
5,4,3,5,4,4,4,4,4,5,1,5,5,6,4,1,1,1,4,5,5,4,4,4,5,Binance
1,5,4,4,4,5,5,5,2,4,3,4,2,4,4,4,4,4,3,4,4,2,3,5,2,Binance
2,5,6,3,5,5,3,3,3,4,1,2,6,5,6,5,4,1,2,2,4,4,5,4,2,Binance
1,5,6,4,5,3,2,5,2,1,1,1,2,5,4,1,2,2,2,4,5,1,5,5,1,Coinbase
3,3,5,5,5,4,4,4,3,4,3,2,3,5,4,3,5,3,3,4,4,4,3,2,3,Coinbase
2,5,5,6,4,2,4,2,2,4,5,4,3,3,5,4,4,4,3,2,3,2,3,4,3,Coinbase
1,5,6,5,5,3,3,3,4,4,1,1,5,5,5,3,4,4,2,3,4,3,5,4,3,Kraken
2,3,2,1,4,1,2,2,1,5,1,5,2,4,5,1,5,1,2,1,4,1,2,5,1,Binance
2,5,5,5,5,6,2,5,2,2,2,2,4,6,5,2,2,2,1,2,5,1,5,6,1,Kraken
2,4,4,1,4,5,4,4,2,2,4,5,3,3,5,4,5,1,2,3,5,1,5,6,2,Coinbase
1,6,6,6,6,6,5,4,1,2,1,1,5,6,6,3,4,3,2,2,6,6,5,5,1,Coinbase
2,4,4,4,3,5,1,3,2,1,1,1,3,6,5,5,6,6,1,1,4,3,5,2,3,Binance
5,5,4,5,4,6,6,6,1,6,2,2,4,5,5,1,1,4,3,4,6,4,4,5,2,Binance
5,3,1,2,3,6,2,2,4,5,5,4,3,4,2,1,4,4,4,2,6,2,6,5,2,Binance
1,5,5,6,6,5,5,5,3,3,1,1,5,5,5,1,1,1,1,2,5,2,5,5,5,Kraken
1,5,6,6,4,5,3,4,3,5,2,2,3,6,4,2,2,2,2,4,5,1,5,5,3,Kraken
1,5,6,5,6,2,5,5,2,2,1,3,4,6,6,3,5,2,2,3,5,1,5,6,1,Kraken
1,6,6,6,4,1,5,6,3,2,4,2,6,4,2,2,5,5,4,4,5,5,5,6,1,Kraken
3,5,5,3,4,4,3,4,3,3,3,4,3,4,3,3,4,3,3,3,3,2,4,4,3,Coinbase
1,5,6,5,5,5,3,4,1,5,2,2,4,5,5,2,2,2,2,1,5,3,4,5,2,Kraken
2,6,6,5,5,5,5,4,2,1,2,3,5,4,6,2,3,2,2,1,6,1,5,6,2,Kraken
5,4,5,6,4,1,4,6,2,2,3,3,5,4,5,2,2,1,3,2,5,6,4,6,3,Binance
5,4,5,6,2,5,6,4,1,1,1,1,3,6,3,2,4,2,3,1,6,2,6,3,2,Coinbase
3,5,2,4,5,5,4,6,3,3,3,5,2,3,2,1,3,3,2,4,5,2,5,5,2,Kraken
3,6,5,6,6,6,5,5,1,1,1,2,4,6,6,2,2,1,2,3,5,2,4,6,1,Coinbase
2,5,4,4,4,3,3,4,5,4,2,2,4,4,4,5,5,4,4,4,3,5,4,3,4,Coinbase
1,6,6,6,5,4,3,4,5,6,2,2,4,5,3,1,2,4,4,4,4,3,5,5,3,Binance
3,4,4,6,3,5,5,5,2,4,6,4,3,3,4,1,3,2,2,1,6,2,3,5,2,Binance
3,5,6,5,6,5,6,5,2,1,3,1,4,6,5,3,5,3,3,1,4,1,4,4,3,Binance
4,5,5,5,5,5,4,5,2,4,2,2,4,5,5,2,3,2,1,1,5,4,4,4,1,Kraken
1,6,4,6,6,5,4,5,1,2,5,1,5,4,6,1,2,2,1,1,4,2,5,5,3,Binance
4,3,4,2,5,5,5,5,2,2,2,2,3,3,6,4,4,3,3,2,6,1,4,6,1,Kraken
3,5,5,5,5,4,3,3,3,5,3,4,3,5,5,4,5,2,2,2,5,4,4,5,5,Binance
3,3,3,4,4,5,2,5,2,3,4,2,3,5,4,2,2,2,3,2,2,3,2,4,5,Binance
3,5,4,5,5,4,2,4,4,4,3,4,6,6,6,3,4,2,2,1,5,1,3,5,3,Coinbase
3,5,6,6,5,4,4,6,3,3,3,4,4,5,4,1,1,2,3,2,5,4,4,5,3,Coinbase
4,5,5,6,4,6,5,5,2,2,5,5,4,4,4,2,4,2,6,2,5,2,4,4,2,Coinbase
6,1,1,4,6,5,6,5,1,1,1,1,5,6,6,1,1,1,1,1,5,1,6,1,1,Coinbase
3,5,5,6,6,6,6,6,1,1,1,2,4,4,6,1,1,1,2,2,3,2,4,2,1,Binance
5,5,5,6,6,5,4,5,2,2,4,1,5,6,5,1,1,2,5,1,6,5,4,4,4,Coinbase
3,4,4,5,3,4,4,4,2,2,4,3,3,3,5,3,3,3,2,2,5,4,4,4,3,Coinbase
5,6,5,5,6,5,4,6,1,2,1,3,5,6,5,1,4,1,3,2,4,5,4,6,2,Coinbase
1,6,5,6,5,3,3,5,4,4,4,5,4,3,5,2,2,3,5,4,5,3,5,6,2,Binance
1,6,6,6,5,6,4,4,1,5,1,1,6,3,3,3,5,5,2,4,6,6,4,6,1,Coinbase
4,4,6,5,4,4,5,3,5,4,2,4,4,5,3,2,4,2,3,3,5,4,4,4,4,Binance
5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,5,4,4,5,4,6,6,6,6,4,Binance
3,4,4,3,2,6,5,5,1,3,2,5,5,2,5,4,5,3,6,1,6,1,6,6,1,Binance
6,6,6,6,6,5,5,6,6,1,1,1,6,6,6,6,3,2,2,5,1,2,6,6,6,Binance
2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,5,4,2,2,1,6,1,5,6,2,Binance
4,1,4,6,6,6,4,4,2,6,1,1,6,6,5,1,2,1,1,1,4,3,4,2,5,Coinbase
3,5,4,5,5,5,6,5,2,1,3,3,4,6,5,1,2,2,1,2,4,5,3,4,3,Binance
2,4,5,5,5,4,4,4,2,3,3,4,3,5,3,5,5,2,4,4,4,4,4,2,2,Binance
1,5,5,5,5,5,4,5,1,1,2,2,3,5,5,1,2,2,2,2,2,2,5,4,2,Coinbase
1,6,6,5,5,5,6,5,2,5,4,4,3,6,5,3,4,2,2,6,4,2,5,5,3,Coinbase
4,5,4,3,4,4,4,5,4,5,4,4,4,4,5,2,2,5,5,3,6,2,3,6,6,Binance
3,5,4,5,5,5,5,3,4,6,1,6,5,6,6,6,6,5,4,5,6,6,3,4,2,Coinbase
1,5,6,6,6,5,6,6,5,1,4,1,6,6,5,5,1,5,5,2,6,5,5,5,2,Binance
2,4,4,4,5,4,5,4,2,4,1,1,5,6,6,4,5,6,4,4,6,3,5,4,1,Coinbase
3,5,6,6,6,4,5,6,3,1,2,1,5,2,6,5,4,1,2,3,4,5,5,6,4,Coinbase
1,5,6,5,6,6,5,5,1,2,2,1,5,5,6,2,2,2,2,1,5,1,6,4,2,Kraken
1,4,4,2,5,5,4,3,2,4,5,5,4,2,3,4,4,4,5,4,4,2,2,5,4,Binance
4,6,6,6,5,4,4,5,2,5,1,1,4,5,5,4,5,4,4,5,5,1,6,6,1,Binance
2,6,5,6,3,3,3,5,3,5,1,4,3,5,2,4,5,6,4,4,2,4,3,6,3,Coinbase
3,4,5,4,4,4,4,3,4,5,5,4,3,3,4,5,5,3,3,3,4,3,5,5,3,Binance
2,6,6,6,6,5,4,5,1,1,1,1,5,5,5,4,3,2,2,3,5,1,5,4,2,Kraken
2,2,2,4,3,3,2,4,4,6,4,4,3,3,3,1,3,3,5,1,4,6,3,4,4,Coinbase
2,5,4,6,4,4,5,4,3,4,1,3,3,4,4,4,4,5,3,5,4,4,4,4,2,Coinbase
3,4,6,6,4,4,4,5,5,4,2,4,4,3,3,6,6,6,4,5,3,4,5,4,4,Coinbase
1,5,5,6,5,5,4,5,2,1,1,3,5,6,5,3,4,4,3,4,5,3,4,4,2,Coinbase
2,5,6,5,4,3,5,5,2,1,4,5,4,1,6,6,6,6,6,4,4,2,6,6,2,Coinbase
1,6,6,6,6,6,4,4,3,4,1,1,6,6,6,1,2,4,2,2,6,1,6,6,1,Binance
1,6,6,6,5,5,4,6,2,2,2,4,4,6,3,5,6,3,2,4,3,5,3,3,1,Coinbase
1,5,5,6,5,2,4,5,5,5,3,5,5,5,2,3,4,4,4,2,1,4,3,5,4,Coinbase
2,5,5,5,5,5,5,5,2,1,2,2,4,5,5,1,1,1,1,1,5,1,5,2,2,Binance
3,6,5,5,5,4,4,5,4,4,1,2,5,6,6,4,4,4,3,5,6,2,5,4,3,Kraken
1,5,6,4,6,5,3,3,4,5,1,1,5,6,5,4,6,6,5,6,6,2,6,5,1,Kraken
4,5,5,6,6,3,5,6,2,1,6,6,1,5,6,2,3,3,2,1,5,3,1,3,4,Binance
3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3,Coinbase
1,5,5,6,5,5,6,2,1,5,3,3,5,6,4,2,4,5,4,4,6,1,6,6,1,Kraken
1,5,5,5,4,4,4,4,2,2,4,4,4,2,5,1,2,1,1,2,4,2,5,6,2,Kraken
2,6,6,5,5,5,2,6,5,5,6,5,3,4,2,2,2,2,4,2,4,5,3,4,3,Kraken
3,5,6,4,5,4,3,5,3,4,1,2,4,5,4,2,3,5,4,3,4,3,5,6,5,Binance
4,5,4,5,4,5,5,4,1,1,2,2,4,5,5,3,4,4,4,4,5,1,5,4,1,Coinbase
5,2,3,2,3,5,4,3,2,3,4,5,4,4,1,2,4,5,5,4,5,1,5,6,3,Binance
1,6,5,6,5,5,6,6,2,1,5,2,5,1,6,5,4,5,4,2,6,5,3,6,5,Binance
3,4,4,4,4,6,6,5,1,2,2,2,5,5,6,2,2,2,2,4,5,6,6,6,4,Kraken
1,6,5,4,5,6,5,5,1,2,1,4,1,5,4,2,4,4,2,6,2,1,4,6,4,Coinbase
2,5,5,6,5,4,4,4,1,2,3,2,4,5,5,1,1,1,2,1,5,2,4,5,2,Coinbase
1,6,6,6,6,5,4,6,1,2,1,2,6,6,6,1,4,4,1,1,5,4,6,4,4,Coinbase
3,5,5,6,1,6,5,5,4,6,1,1,6,3,6,6,6,6,5,1,6,1,6,3,1,Binance
2,4,4,6,2,5,5,5,2,1,3,6,5,4,5,5,5,6,5,5,5,2,4,6,1,Coinbase
3,5,4,2,2,4,4,4,2,2,4,4,2,4,4,5,6,6,6,6,5,1,3,6,2,Coinbase
2,5,3,2,2,5,3,4,4,4,2,2,4,4,5,2,2,4,2,2,4,2,5,6,1,Binance
2,6,6,6,6,4,5,5,1,2,2,2,3,5,6,2,3,3,1,1,5,2,3,2,1,Binance
2,2,6,2,2,6,6,6,1,2,6,2,6,1,6,5,5,5,5,1,6,1,6,6,1,Binance
2,6,6,6,6,4,5,4,2,2,1,1,5,6,5,2,2,2,1,2,4,1,5,5,4,Coinbase
5,2,2,2,5,5,5,6,2,5,4,5,3,3,3,5,5,5,6,5,5,1,5,6,1,Binance
4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,Binance
3,3,4,6,3,4,4,3,4,4,5,5,2,3,5,4,5,4,4,2,5,2,3,4,3,Binance
1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,4,2,4,1,5,1,6,6,1,Kraken
1,5,4,5,6,6,6,2,6,6,1,1,6,6,6,6,6,6,6,5,6,5,6,6,1,Kraken
2,2,5,4,4,5,5,4,3,5,5,5,4,5,4,3,2,4,4,2,6,2,6,6,2,Kraken
