ID,B1.featureA,B1.featureC,B1.featureD,B2.featureA,B2.featureB,B2.featureD,B3.featureB,B3.featureC,B3.featureD,B4.featureA,B4.featureB,B4.featureC
R_29n9EAZQ0NQdcZh,Least important,,Most important,Least important,Most important,,Least important,,Most important,Least important,Most important,
R_272LwEZICEgk6wE,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1j9bz3um2Co1tcY,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_z8qFbgZjYFmyMx3,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_1lgFgLB49LUP2l7,Most important,,,Most important,,,Most important,,,Most important,,
R_5gVYx0hwYghL0Vb,Most important,Least important,,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_2wvsktTfhX1eAo4,Least important,,Most important,,Most important,Least important,Least important,Most important,,,Most important,Least important
R_29fQ905BsOWVLtv,Most important,Least important,,Least important,,Most important,Most important,Least important,,Most important,Least important,
R_3oYgILKntuYYeA8,,Least important,Most important,,Most important,,Least important,Most important,,,Most important,Least important
R_tJUM83CeDdnF1Sh,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_ZlgdrDViIvUmvkJ,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_XKUxCHDklJxQglb,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_3MojWtF7z5sGRCj,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_3PU2qyRiTZoCxSi,,Least important,Most important,,,Least important,Most important,,Least important,,Most important,Least important
R_1hWnf8TmNXenqJU,,Least important,Most important,Least important,Most important,,Most important,,Least important,,Most important,Least important
R_2wpfnjzvmFTTAYw,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_T5hh8PBMrNw1MJP,,Least important,Most important,Least important,,Most important,Most important,Least important,,Least important,Most important,
R_2YzjvaLRMq43B99,Most important,Least important,,Least important,Most important,,Most important,,Least important,,Most important,Least important
R_3phTyCmscqDrlxS,Most important,Least important,,Least important,Most important,,Most important,Least important,,Most important,,Least important
R_3CHs85WkwV2MZmx,Least important,,Most important,Least important,Most important,,Most important,,Least important,,Most important,Least important
R_1riGKE12MAklCIt,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_1JDFQIhW0gG2PfR,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_2YgZXXCKv56NXak,Least important,Most important,,Most important,,Least important,,Most important,Least important,,Most important,Least important
R_2TYkD1uz3xKJKJ5,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_10HhwetXcTswvNC,Least important,Most important,,Most important,,Least important,Least important,Most important,,Least important,Most important,
R_2AMDkvkQi6EVmqn,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_2ru2IiCPBE5KJcV,Least important,,Most important,,Most important,Least important,Least important,Most important,,Least important,Most important,
R_vetpZaBaouvkoiB,,Least important,Most important,Least important,Most important,,Most important,Least important,,Least important,Most important,
R_1eDBHtBWX8z50oM,Least important,,Most important,,Most important,Least important,Least important,Most important,,Least important,Most important,
R_2Vsu1QWyjrLUg93,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_3ML22yUQHBonocb,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_1rIz1GEcq8k0rZ7,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_DlbNyHv6lH7Tui5,,Most important,Least important,Most important,Least important,,Least important,Most important,,,Least important,Most important
R_a4AIGGTtiaGNIg9,Least important,,Most important,,Most important,Least important,Least important,Most important,,Least important,Most important,
R_1IitcnHMV98wPHH,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_vcRrqrXcaHCrvyh,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_2OUR7AHPHsfUzp4,Most important,Least important,,Least important,,Most important,Most important,Least important,,Most important,Least important,
R_1ojR4PB96dp9foI,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_3PoGyzmOSIbCbqX,Most important,Least important,,Least important,Most important,,Most important,Least important,,Most important,,Least important
R_3ND5oigNIVyFgzw,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_2VkZxyMeo3YcYUT,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_2f37cSyDRKlsZJP,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_1CrNJ961oFxPFBj,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_2ePw7hEmip9oZHo,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1M5HQVvQD4fKBVG,Least important,,Most important,Least important,Most important,,Least important,,Most important,Least important,Most important,
R_2WJ9W1wKv8Wvz9p,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_33kwWWn8l0XfmTh,,Most important,Least important,,Least important,Most important,Least important,,Most important,,Least important,Most important
R_rfnvBj3uaqFrCVj,,Least important,Most important,Least important,Most important,,,Least important,Most important,,Most important,Least important
R_3r0bi7ec6wpwp0q,Least important,Most important,,Most important,,Least important,,Most important,Least important,,Most important,Least important
R_2w7E7XY02ZWTt5Q,Most important,Least important,,,Least important,Most important,,Least important,Most important,,Least important,Most important
R_AnA7i81MlRQstZT,Most important,Least important,,Least important,Most important,,Most important,Least important,,Most important,,Least important
R_2wS91XLN5KtM5rQ,Least important,,Most important,,Most important,Least important,Least important,Most important,,Least important,Most important,
R_3LbFkSdXEL9KN55,Least important,,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1OOyeVOah2AFKJ0,,Least important,Most important,,Most important,Least important,Least important,,Most important,Least important,Most important,
R_1l4agZHcplCbYVM,Most important,Least important,,Least important,,Most important,Most important,Least important,,Most important,Least important,
R_3KNIBaXItJeytaR,Most important,Least important,,Least important,,Most important,,Least important,Most important,,Least important,Most important
R_2SrxTgOmfKCV7FK,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1FyLSGsfvGhlTVg,,,Most important,,Most important,,,,Least important,Least important,Most important,
R_3PGJBOUBPkThPj4,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_3khyL3n8s9ujbym,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_3JqhycbqHjboKoh,,Least important,Most important,Least important,,Most important,,,Least important,,Most important,Least important
R_3KZKbECqtPJ2fY0,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_Qm1utoJB5XBgDQd,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_6GtwwYPchFZoPLj,Most important,Least important,,Least important,,Most important,,Least important,Most important,,Least important,Most important
R_2dZ1OEeymhKHPYN,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1F5SlqSC9Uzssvc,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_r2WGatubTuuFmoN,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_bClUIuE738KxiBr,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_20OjCLsJPpQdRZc,Least important,Most important,,,Most important,Least important,Least important,Most important,,,Most important,Least important
R_2dLvlSWNREMWxjJ,Least important,Most important,,Most important,,Least important,Least important,Most important,,Least important,Most important,
R_2yr8JQdnPIN5OSy,,Least important,Most important,Least important,Most important,,Most important,Least important,,Most important,,Least important
R_1Ok9ltxBybqAiUX,Most important,Least important,,Most important,,Least important,,Least important,,Most important,,Least important
R_2aWtuFykHYdCcnl,,Least important,Most important,Least important,Most important,,Most important,,Least important,,Most important,Least important
R_5ouT2SIuHjNh7yN,Most important,Least important,,Least important,,Most important,,Least important,Most important,,Least important,Most important
R_10I8AgLG9vSUdWc,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_3F2LTKrzB5nVHTH,,Least important,Most important,,Most important,Least important,Most important,Least important,,,Most important,Least important
R_TjCZCEcnZ3JHNZf,,Least important,Most important,,Most important,Least important,Most important,Least important,,,Most important,Least important
R_3qmMftcCpGDe7Qb,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_cNo8IIWLoXCfLYB,Least important,,Most important,Least important,Most important,,Least important,,Most important,Least important,Most important,
R_aahPITSOSxlcL5L,Least important,,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1n8T0eSkXDFDl2a,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_3r3aJSnzUeKkIQk,,Least important,Most important,Least important,Most important,,Most important,Least important,,Least important,Most important,
R_1gFjPJlbE5EwrvL,,Least important,Most important,Least important,,Most important,,Least important,Most important,,Least important,Most important
R_b43QYnEhVpOCaE9,Least important,,Most important,Least important,Most important,,Least important,,Most important,Least important,Most important,
R_ehd60q6GiCKed0d,Least important,,Most important,Least important,Most important,,,Least important,Most important,Least important,Most important,
R_20Ps2qoPav2YNKs,,Most important,,Most important,,Least important,Most important,,Least important,Most important,,Least important
R_3gRgMmbIxVGVKg6,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_2YS3TeH6THR9Qd6,,Least important,Most important,Least important,,Most important,,Least important,Most important,Least important,,Most important
R_PHYWnpndV6s8OOd,Most important,,Least important,Most important,Least important,,Most important,,Least important,Most important,Least important,
