"CX_score" "featureA" "featureB" "featureC" "featureD" "overall"
"440" 82 83 70 65 51 88
"441" 81 82 66 62 56 72
"442" 65 71 49 42 32 41
"443" 74 77 64 54 40 64
"444" 68 67 50 42 29 52
"445" 75 87 63 60 50 57
"446" 66 78 66 52 42 56
"447" 69 80 61 54 39 58
"448" 92 91 78 65 52 94
"449" 69 82 64 58 45 57
"450" 76 82 74 54 39 66
"451" 66 70 63 44 36 46
"452" 67 86 78 59 52 69
"453" 59 68 56 43 33 57
"454" 70 68 59 50 39 46
"455" 79 76 62 52 43 57
"456" 80 78 66 52 41 51
"457" 81 88 91 63 58 64
"458" 80 88 71 55 42 71
"459" 69 81 66 55 46 60
"460" 74 76 55 53 47 62
"461" 66 79 59 49 40 46
"462" 85 84 50 57 48 60
"463" 74 80 60 54 43 58
"464" 77 79 63 55 50 58
"465" 72 74 70 51 38 38
"466" 77 82 62 56 45 60
"467" 67 74 67 50 38 52
"468" 76 74 45 47 40 39
"469" 71 76 62 52 42 58
"470" 78 80 62 54 48 70
"471" 81 78 76 51 43 63
"472" 66 81 68 54 38 39
"473" 63 80 65 54 46 60
"474" 84 87 79 58 40 64
"475" 60 74 64 49 39 48
"476" 74 93 62 61 44 69
"477" 70 75 65 48 40 52
"478" 73 88 81 57 48 68
"479" 65 75 62 52 41 70
"480" 79 84 66 58 45 57
"481" 69 76 65 53 49 60
"482" 68 73 53 54 47 47
"483" 77 83 47 58 46 63
"484" 70 71 59 51 42 49
"485" 74 72 67 52 49 59
"486" 65 80 68 55 47 67
"487" 73 77 54 50 38 43
"488" 79 79 70 56 43 71
"489" 76 89 67 60 57 69
"490" 76 84 76 57 48 71
"491" 70 83 56 57 40 66
"492" 65 82 65 54 44 56
"493" 77 78 80 54 38 67
"494" 67 70 69 49 42 50
"495" 85 81 66 58 44 60
"496" 75 85 69 62 49 62
"497" 74 76 49 47 39 49
"498" 70 75 53 52 42 47
"499" 80 89 63 64 47 76
"500" 68 79 73 52 51 56
"501" 68 78 68 54 49 55
"502" 72 85 70 52 42 73
"503" 72 76 77 53 43 51
"504" 73 84 55 56 46 52
"505" 72 85 70 58 48 61
"506" 82 86 54 64 54 61
"507" 73 81 66 55 48 62
"508" 85 83 64 61 47 81
"509" 75 69 63 51 37 45
"510" 68 75 53 50 34 52
"511" 73 81 59 59 46 68
"512" 75 78 57 54 43 63
"513" 87 78 61 57 50 68
"514" 74 80 67 55 45 59
"515" 80 77 61 55 43 55
"516" 93 96 75 66 53 92
"517" 76 82 61 52 49 70
"518" 79 74 71 56 49 61
"519" 80 83 64 57 46 60
"520" 74 81 67 52 35 63
"521" 76 77 63 56 41 69
"522" 75 78 51 56 48 58
"523" 88 97 80 65 51 78
"524" 86 90 80 64 57 72
"525" 76 83 72 60 47 84
"526" 65 76 68 49 33 38
"527" 72 74 53 57 41 70
"528" 66 69 69 49 43 56
"529" 71 71 64 51 39 52
"530" 71 86 67 59 50 74
"531" 70 69 69 50 33 52
"532" 65 69 50 48 36 58
"533" 83 88 57 60 55 77
"534" 65 80 62 52 48 57
"535" 68 75 58 53 48 62
"536" 71 69 67 48 37 47
"537" 70 79 59 53 44 62
"538" 77 84 65 59 55 66
"539" 78 71 60 53 49 66
"540" 63 73 45 49 40 55
"541" 74 84 65 52 43 70
"542" 82 88 75 64 58 72
"543" 68 76 67 52 41 41
"544" 88 86 70 62 50 70
"545" 81 82 69 58 50 59
"546" 72 78 82 59 42 61
"547" 72 76 51 52 43 45
"548" 69 76 62 52 41 56
"549" 79 82 77 56 42 66
"550" 73 79 64 56 47 57
"551" 73 75 59 49 38 67
"552" 75 70 50 48 39 60
"553" 75 87 78 58 52 70
"554" 78 80 80 59 48 76
"555" 83 86 54 59 46 80
"556" 88 87 75 58 56 84
"557" 64 70 53 47 38 41
"558" 74 86 71 58 48 57
"559" 66 70 46 44 31 39
"560" 73 79 63 53 47 62
"561" 74 82 66 53 49 37
"562" 79 86 57 58 51 70
"563" 69 76 72 54 46 46
"564" 69 80 64 49 41 66
"565" 78 85 61 51 46 67
"566" 68 77 51 52 40 60
"567" 77 82 59 59 45 77
"568" 71 77 63 51 39 58
"569" 77 79 65 55 47 53
"570" 72 78 65 58 52 58
"571" 72 83 76 58 46 62
"572" 86 82 63 62 53 74
"573" 81 82 55 60 51 62
"574" 76 79 56 52 45 57
"575" 86 92 67 66 50 80
"576" 85 87 67 57 55 72
"577" 67 78 56 53 44 55
"578" 65 80 58 52 40 42
"579" 64 70 52 44 33 28
"580" 84 90 73 65 58 79
"581" 83 84 74 58 50 69
"582" 75 80 64 53 46 64
"583" 72 78 56 56 49 60
"584" 69 76 55 56 41 58
"585" 71 76 66 55 48 58
"586" 75 84 75 56 46 60
"587" 71 78 65 52 39 52
"588" 50 70 47 41 31 46
"589" 85 85 89 60 56 77
"590" 72 81 67 52 46 67
"591" 70 80 54 50 42 73
"592" 68 67 69 47 42 35
"593" 63 76 60 50 44 64
"594" 80 82 58 56 47 66
"595" 66 82 61 52 48 66
"596" 73 79 60 56 50 66
"597" 68 74 63 53 39 53
"598" 66 74 78 51 41 53
"599" 77 81 57 54 45 55
"600" 72 72 46 46 42 33
"601" 78 82 63 55 51 58
"602" 79 79 64 55 42 67
"603" 64 69 45 42 24 39
"604" 78 80 65 57 44 55
"605" 60 72 59 42 36 52
"606" 69 71 46 45 41 53
"607" 70 79 73 59 46 57
"608" 71 77 64 50 44 43
"609" 66 78 64 51 39 49
"610" 85 88 77 66 57 83
"611" 80 87 70 62 52 72
"612" 80 80 62 58 46 69
"613" 63 76 70 53 47 51
"614" 69 78 65 50 42 59
"615" 78 76 70 55 45 61
"616" 72 80 71 54 43 73
"617" 74 77 61 50 37 49
"618" 71 79 58 52 39 59
"619" 74 76 63 52 40 50
"620" 66 72 45 50 41 52
"621" 82 80 51 54 41 56
"622" 79 81 58 60 55 70
"623" 71 76 64 53 41 42
"624" 69 73 61 53 43 56
"625" 76 78 78 58 48 70
"626" 78 86 67 61 48 74
"627" 71 78 60 54 42 59
"628" 74 88 56 56 44 78
"629" 73 85 73 61 48 61
"630" 70 76 52 55 44 59
"631" 74 83 56 53 42 61
"632" 69 83 73 56 47 59
"633" 80 70 56 54 46 62
"634" 68 75 50 45 33 47
"635" 79 66 46 47 37 49
"636" 80 89 67 59 45 61
"637" 70 70 59 47 35 61
"638" 72 77 66 49 44 48
"639" 79 86 69 56 45 63
"640" 70 81 62 60 43 66
"641" 71 70 62 46 33 47
"642" 76 80 54 55 41 62
"643" 82 86 71 59 47 53
"644" 80 78 53 54 44 63
"645" 74 75 57 52 51 57
"646" 74 86 61 62 53 58
"647" 71 83 62 54 49 59
"648" 79 77 54 52 39 61
"649" 74 76 65 52 48 63
"650" 81 84 80 64 48 78
"651" 55 67 70 45 35 49
"652" 78 79 57 55 50 53
"653" 72 85 74 60 46 67
"654" 74 84 70 59 48 59
"655" 77 74 54 51 46 68
"656" 64 81 65 55 42 45
"657" 74 76 64 50 51 50
"658" 80 83 78 57 45 69
"659" 69 75 53 49 30 48
"660" 73 81 58 49 39 61
"661" 66 75 53 49 35 50
"662" 74 79 60 57 44 49
"663" 80 81 73 53 43 71
"664" 73 82 55 55 40 60
"665" 83 81 67 57 48 67
"666" 83 78 61 57 46 63
"667" 75 82 62 55 44 68
"668" 85 88 53 58 47 70
"669" 77 73 74 55 49 62
"670" 75 76 60 53 38 63
"671" 78 82 64 60 52 66
"672" 69 72 72 49 32 43
"673" 62 80 46 56 50 45
"674" 57 66 47 43 36 40
"675" 73 83 66 55 39 56
"676" 67 68 47 44 33 41
"677" 89 81 83 58 47 64
"678" 75 80 47 54 45 63
"679" 75 82 61 58 46 61
"680" 75 83 64 58 47 62
"681" 68 75 50 48 34 51
"682" 77 77 68 52 41 53
"683" 78 89 60 60 50 81
"684" 81 85 76 61 52 74
"685" 71 83 52 54 44 56
"686" 67 81 61 52 42 51
"687" 75 83 53 57 45 71
"688" 73 75 43 52 48 52
"689" 79 83 60 57 52 81
"690" 77 79 58 57 48 76
"691" 70 80 80 55 44 57
"692" 65 74 69 53 42 42
"693" 69 84 52 57 56 55
"694" 84 75 59 58 48 61
"695" 70 85 64 58 46 63
"696" 76 80 74 55 42 64
"697" 72 79 62 50 42 52
"698" 71 77 62 56 42 63
"699" 80 79 77 55 46 69
"700" 74 75 71 51 43 60
"701" 70 79 65 52 42 50
"702" 72 75 65 52 46 66
"703" 76 87 62 60 51 50
"704" 85 91 58 63 55 66
"705" 72 73 57 51 32 58
"706" 86 96 78 68 58 91
"707" 80 76 71 58 50 68
"708" 83 84 64 57 47 70
"709" 81 82 59 56 48 56
"710" 67 75 64 50 37 48
"711" 86 88 60 56 52 70
"712" 79 85 63 63 52 47
"713" 82 92 67 66 55 68
"714" 66 79 69 50 44 59
"715" 84 94 83 65 61 82
"716" 80 82 58 55 44 64
"717" 65 84 57 54 40 50
"718" 73 80 56 54 45 63
"719" 59 71 67 45 32 40
"720" 76 75 53 51 40 69
"721" 72 67 44 42 35 47
"722" 77 84 73 63 51 68
"723" 75 81 61 56 46 53
"724" 83 86 60 59 51 79
"725" 73 82 71 54 50 56
"726" 73 82 78 59 45 50
"727" 69 71 68 48 39 60
"728" 67 76 71 54 42 63
"729" 79 81 58 55 43 71
"730" 74 90 53 57 53 72
"731" 79 80 71 58 54 64
"732" 72 84 77 61 55 61
"733" 67 71 58 45 32 26
"734" 82 79 75 55 52 69
"735" 78 82 67 58 49 67
"736" 74 84 88 58 49 68
"737" 77 87 61 63 51 55
"738" 72 78 57 54 43 48
"739" 73 79 62 53 48 59
"740" 70 72 60 50 48 52
"741" 78 78 62 51 35 50
"742" 58 75 59 53 40 31
"743" 71 73 47 49 41 61
"744" 79 90 64 59 46 71
"745" 68 86 71 61 49 63
"746" 67 78 54 49 44 45
"747" 73 84 66 56 47 59
"748" 58 74 66 46 37 47
"749" 79 76 47 55 48 78
"750" 70 73 62 51 46 64
"751" 83 85 67 61 45 63
"752" 85 84 76 56 47 68
"753" 72 77 60 48 40 61
"754" 71 83 56 59 48 63
"755" 66 76 47 51 43 50
"756" 80 86 69 58 46 60
"757" 89 88 81 61 46 73
"758" 72 77 59 56 42 55
"759" 72 79 73 59 43 64
"760" 69 79 67 56 44 68
"761" 84 81 51 57 39 67
"762" 86 86 76 66 50 73
"763" 75 81 64 56 49 63
"764" 65 69 64 44 36 38
"765" 59 71 63 49 36 43
"766" 68 77 64 52 46 72
"767" 82 83 60 59 53 76
"768" 67 76 55 52 41 59
"769" 70 72 59 53 43 56
"770" 65 72 52 52 48 51
"771" 89 82 75 58 53 86
"772" 80 87 80 60 50 72
"773" 78 82 69 56 51 51
"774" 70 66 67 46 41 67
"775" 81 88 72 58 49 67
"776" 70 74 59 48 37 43
"777" 71 74 67 52 45 61
"778" 73 82 62 56 45 60
"779" 57 76 64 52 37 46
"780" 74 78 77 56 49 62
"781" 77 78 76 61 49 66
"782" 69 74 51 46 46 47
"783" 69 76 63 49 37 50
"784" 77 84 68 56 45 63
"785" 79 73 54 49 36 64
"786" 68 74 47 50 40 50
"787" 67 76 65 46 30 40
"788" 82 80 59 56 47 59
"789" 68 85 65 57 43 64
"790" 63 74 58 53 37 49
"791" 61 72 57 49 36 46
"792" 75 87 74 61 49 68
"793" 81 87 58 65 52 71
"794" 66 78 62 53 39 61
"795" 82 90 80 58 44 66
"796" 75 82 64 55 46 83
"797" 70 80 64 51 42 53
"798" 74 79 61 56 46 49
"799" 82 87 73 61 55 57
"800" 75 79 66 56 43 56
"801" 93 89 72 61 48 77
"802" 72 73 63 55 52 59
"803" 60 71 61 43 31 46
"804" 77 87 80 61 52 64
"805" 74 79 65 52 41 72
"806" 71 80 70 58 42 58
"807" 71 77 70 57 48 60
"808" 58 63 53 39 34 24
"809" 81 80 74 54 42 71
"810" 83 82 76 60 47 75
"811" 76 80 53 58 48 57
"812" 65 76 50 52 32 44
"813" 68 67 68 42 37 53
"814" 75 78 52 52 42 56
"815" 68 80 69 52 45 54
"816" 75 83 56 59 45 73
"817" 62 76 67 50 40 38
"818" 79 86 72 59 52 80
"819" 73 90 78 59 52 72
"820" 66 75 58 52 45 24
"821" 64 74 61 48 37 28
"822" 61 89 60 56 53 59
"823" 71 82 54 52 49 56
"824" 82 79 55 58 49 65
"825" 57 75 73 46 28 36
"826" 83 93 85 67 53 75
"827" 79 81 66 55 45 78
"828" 87 82 66 56 50 65
"829" 61 72 64 47 37 24
"830" 72 74 57 55 47 67
"831" 77 85 74 58 50 62
"832" 74 79 57 48 41 55
"833" 78 79 69 54 45 52
"834" 72 74 72 50 41 55
"835" 68 74 68 52 40 49
"836" 70 77 70 52 38 37
"837" 90 85 77 62 49 62
"838" 77 85 72 60 48 63
"839" 65 77 59 51 39 55
"840" 75 76 62 56 38 39
"841" 64 86 82 59 50 69
"842" 73 70 51 51 46 47
"843" 78 79 52 52 38 57
"844" 79 78 62 53 44 63
"845" 84 91 72 64 53 71
"846" 77 78 61 53 39 39
"847" 68 80 44 51 47 54
"848" 71 79 52 47 40 57
"849" 72 73 40 51 41 42
"850" 75 79 70 52 41 52
"851" 80 83 94 60 50 70
"852" 75 72 47 51 40 37
"853" 72 70 53 48 38 48
"854" 60 76 56 50 45 48
"855" 71 79 69 55 42 63
"856" 75 80 70 54 41 63
"857" 84 84 77 59 48 64
"858" 76 80 65 54 46 44
"859" 71 74 54 49 37 60
"860" 68 80 71 57 47 52
"861" 60 65 63 43 26 32
"862" 81 84 76 54 42 65
"863" 85 88 74 65 55 63
"864" 75 80 72 57 51 52
"865" 64 72 63 47 41 44
"866" 66 76 63 51 41 57
"867" 72 79 70 52 42 58
"868" 72 83 70 61 53 48
"869" 73 78 54 54 38 67
"870" 74 81 71 57 41 58
"871" 71 79 50 53 43 67
